date,season,normalized_season,round_number,match_number,home_team,away_team,home_goals,away_goals,official_sign,is_pleno15,official_round_id,match_id,home_team_raw,away_team_raw,home_team_normalized,away_team_normalized,home_team_canonical,away_team_canonical,mapping_status,competition,competition_type,data_quality,source,status,has_pleno15,total_matches,result_by_draw,kickoff,imported_at,prize_info_available,revenue_available
2008-09-10,2008-2009,2008-2009,3,14,Italia,Georgia,2,0,1,false,official-2008-2009-3,official-2008-2009-3-14,Italia,Georgia,italia,georgia,Italia,Georgia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,15,Islandia,Escocia,1,2,2,true,official-2008-2009-3,official-2008-2009-3-15,Islandia,Escocia,islandia,escocia,Islandia,Escocia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,1,Almería,Valencia,2,2,X,false,official-2008-2009-4,official-2008-2009-4-1,Almería,Valencia,almeria,valencia,Almeria,Valencia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,2,Málaga,Athletic de Bilbao,0,0,X,false,official-2008-2009-4,official-2008-2009-4-2,Málaga,Athletic de Bilbao,malaga,athletic,Malaga,Athletic Club,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,3,Valladolid,Atlético de Madrid,2,1,1,false,official-2008-2009-4,official-2008-2009-4-3,Valladolid,Atlético de Madrid,valladolid,atleticomadrid,Valladolid,Atletico Madrid,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,4,Recreativo,Espanyol,0,1,2,false,official-2008-2009-4,official-2008-2009-4-4,Recreativo,Espanyol,recreativo,espanyol,Recreativo,Espanyol,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,5,Getafe,Betis,0,0,X,false,official-2008-2009-4,official-2008-2009-4-5,Getafe,Betis,getafe,betis,Getafe,Betis,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,6,Sevilla,Sporting de Gijón,4,3,1,false,official-2008-2009-4,official-2008-2009-4-6,Sevilla,Sporting de Gijón,sevilla,sporting,Sevilla,Sporting,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,7,Barcelona,Racing De Santander,1,1,X,false,official-2008-2009-4,official-2008-2009-4-7,Barcelona,Racing De Santander,barcelona,racingsantander,Barcelona,Racing Santander,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-14,2008-2009,2008-2009,4,8,Real Madrid,Numancia,4,3,1,false,official-2008-2009-4,official-2008-2009-4-8,Real Madrid,Numancia,realmadrid,numancia,Real Madrid,Numancia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-14T00:00,2026-06-18T06:17:36.532926Z,false,false
